,date,confirmed,deaths,recovered
2020-01-23,2020-01-23,0.0,0.0,0.0
2020-02-26,2020-02-26,1.0,0.0,0.0
2020-02-27,2020-02-27,1.0,0.0,0.0
2020-02-28,2020-02-28,1.0,0.0,0.0
2020-02-29,2020-02-29,2.0,0.0,0.0
2020-03-01,2020-03-01,2.0,0.0,0.0
2020-03-02,2020-03-02,2.0,0.0,0.0
2020-03-03,2020-03-03,2.0,0.0,0.0
2020-03-04,2020-03-04,4.0,0.0,0.0
2020-03-05,2020-03-05,4.0,0.0,0.0
2020-03-06,2020-03-06,13.0,0.0,0.0
2020-03-07,2020-03-07,13.0,0.0,0.0
2020-03-08,2020-03-08,20.0,0.0,0.0
2020-03-09,2020-03-09,25.0,0.0,0.0
2020-03-10,2020-03-10,31.0,0.0,0.0
2020-03-11,2020-03-11,38.0,0.0,0.0
2020-03-12,2020-03-12,52.0,0.0,0.0
2020-03-13,2020-03-13,151.0,0.0,0.0
2020-03-14,2020-03-14,151.0,0.0,0.0
2020-03-15,2020-03-15,162.0,0.0,0.0
2020-03-16,2020-03-16,200.0,0.0,1.0
2020-03-17,2020-03-17,321.0,1.0,2.0
2020-03-18,2020-03-18,372.0,3.0,2.0
2020-03-19,2020-03-19,621.0,6.0,2.0
2020-03-20,2020-03-20,793.0,11.0,2.0
2020-03-21,2020-03-21,1021.0,15.0,2.0
2020-03-22,2020-03-22,1546.0,25.0,2.0
2020-03-23,2020-03-23,1924.0,34.0,2.0
2020-03-24,2020-03-24,2247.0,46.0,2.0
2020-03-25,2020-03-25,2554.0,59.0,2.0
2020-03-26,2020-03-26,2985.0,77.0,6.0
2020-03-27,2020-03-27,3417.0,92.0,6.0
2020-03-28,2020-03-28,3904.0,111.0,6.0
2020-03-29,2020-03-29,4256.0,136.0,6.0
2020-03-30,2020-03-30,4579.0,159.0,120.0
2020-03-31,2020-03-31,5717.0,201.0,127.0
2020-04-01,2020-04-01,6836.0,240.0,127.0
2020-04-02,2020-04-02,8044.0,324.0,127.0
2020-04-03,2020-04-03,9056.0,359.0,127.0
2020-04-04,2020-04-04,10360.0,445.0,127.0
2020-04-05,2020-04-05,11130.0,486.0,127.0
2020-04-06,2020-04-06,12161.0,564.0,127.0
2020-04-07,2020-04-07,14034.0,686.0,127.0
2020-04-08,2020-04-08,16170.0,819.0,127.0
2020-04-09,2020-04-09,18092.0,950.0,173.0
2020-04-10,2020-04-10,19638.0,1057.0,173.0
2020-04-11,2020-04-11,20727.0,1124.0,173.0
2020-04-12,2020-04-12,22192.0,1223.0,173.0
2020-04-13,2020-04-13,23430.0,1328.0,173.0
2020-04-14,2020-04-14,25262.0,1532.0,3046.0
2020-04-15,2020-04-15,28320.0,1736.0,14026.0
2020-04-16,2020-04-16,30425.0,1924.0,14026.0
2020-04-17,2020-04-17,33682.0,2141.0,14026.0
2020-04-18,2020-04-18,36658.0,2354.0,14026.0
2020-04-19,2020-04-19,38654.0,2462.0,22130.0
2020-04-20,2020-04-20,40743.0,2587.0,22130.0
2020-04-21,2020-04-21,43079.0,2741.0,22991.0
2020-04-22,2020-04-22,45757.0,2906.0,25318.0
2020-04-23,2020-04-23,50036.0,3331.0,26573.0
2020-04-24,2020-04-24,54043.0,3704.0,27655.0
2020-04-25,2020-04-25,59324.0,4057.0,29160.0
2020-04-26,2020-04-26,63100.0,4286.0,30152.0
2020-04-27,2020-04-27,67446.0,4603.0,31142.0
2020-04-28,2020-04-28,73235.0,5083.0,32544.0
2020-04-29,2020-04-29,79685.0,5513.0,34132.0
2020-04-30,2020-04-30,87187.0,6006.0,35935.0
2020-05-01,2020-05-01,92202.0,6412.0,38039.0
2020-05-02,2020-05-02,97100.0,6761.0,40937.0
2020-05-03,2020-05-03,101826.0,7051.0,42991.0
2020-05-04,2020-05-04,108620.0,7367.0,45815.0
2020-05-05,2020-05-05,115455.0,7938.0,48221.0
2020-05-06,2020-05-06,126611.0,8588.0,51370.0
2020-05-07,2020-05-07,135773.0,9190.0,55350.0
2020-05-08,2020-05-08,146894.0,10017.0,59297.0
2020-05-09,2020-05-09,156061.0,10656.0,61685.0
2020-05-10,2020-05-10,162699.0,11123.0,64957.0
2020-05-11,2020-05-11,169594.0,11653.0,67384.0
2020-05-12,2020-05-12,178214.0,12461.0,72597.0
2020-05-13,2020-05-13,190137.0,13240.0,78424.0
2020-05-14,2020-05-14,203165.0,13999.0,79479.0
2020-05-15,2020-05-15,220291.0,14962.0,84970.0
2020-05-16,2020-05-16,233511.0,15662.0,89672.0
2020-05-17,2020-05-17,241080.0,16118.0,94122.0
2020-05-18,2020-05-18,255368.0,16853.0,100459.0
2020-05-19,2020-05-19,271885.0,17983.0,106794.0
2020-05-20,2020-05-20,291579.0,18859.0,116683.0
2020-05-21,2020-05-21,310087.0,20047.0,125960.0
2020-05-22,2020-05-22,330890.0,21048.0,135430.0
2020-05-23,2020-05-23,347398.0,22013.0,142587.0
2020-05-24,2020-05-24,363211.0,22666.0,149911.0
2020-05-25,2020-05-25,374898.0,23473.0,153833.0
2020-05-26,2020-05-26,391222.0,24512.0,158593.0
2020-05-27,2020-05-27,411821.0,25598.0,166647.0
2020-05-28,2020-05-28,438238.0,26754.0,177604.0
2020-05-29,2020-05-29,465166.0,27878.0,189476.0
2020-05-30,2020-05-30,498440.0,28834.0,200892.0
2020-05-31,2020-05-31,514849.0,29314.0,206555.0
2020-06-01,2020-06-01,526447.0,29937.0,211080.0
2020-06-02,2020-06-02,555383.0,31199.0,223638.0
2020-06-03,2020-06-03,584016.0,32548.0,238617.0
2020-06-04,2020-06-04,614941.0,34021.0,254963.0
2020-06-05,2020-06-05,645771.0,35026.0,266940.0
2020-06-06,2020-06-06,672846.0,35930.0,277149.0
2020-06-07,2020-06-07,691758.0,36455.0,283952.0
2020-06-08,2020-06-08,707412.0,37134.0,378257.0
2020-06-09,2020-06-09,739503.0,38406.0,396737.0
2020-06-10,2020-06-10,772416.0,39680.0,413916.0
2020-06-11,2020-06-11,802828.0,40919.0,429965.0
2020-06-12,2020-06-12,828810.0,41828.0,445123.0
2020-06-13,2020-06-13,850514.0,42720.0,459436.0
2020-06-14,2020-06-14,867624.0,43332.0,469141.0
2020-06-15,2020-06-15,888271.0,43959.0,477709.0
2020-06-16,2020-06-16,923189.0,45241.0,490005.0
2020-06-17,2020-06-17,955377.0,46510.0,521046.0
2020-06-18,2020-06-18,978142.0,47748.0,534580.0
2020-06-19,2020-06-19,1032913.0,48954.0,551631.0
2020-06-20,2020-06-20,1032913.0,49976.0,589074.0
2020-06-21,2020-06-21,1085038.0,50617.0,600576.0
2020-06-22,2020-06-22,1106470.0,51271.0,601736.0
2020-06-23,2020-06-23,1145906.0,52645.0,627963.0
2020-06-24,2020-06-24,1188631.0,53830.0,660469.0
2020-06-25,2020-06-25,1228114.0,54971.0,679524.0
2020-06-26,2020-06-26,1274974.0,55961.0,702399.0
2020-06-27,2020-06-27,1313667.0,57070.0,727715.0
2020-06-28,2020-06-28,1344143.0,57622.0,746018.0
