country,population
'US',330658335 
'Spain', 
'Italy', 
'France', 
'Germany', 
'UK', 
'Turkey', 
'Iran', 
'China', 
'Russia', 
'Brazil', 
'Canada', 
'Belgium', 
'Netherlands', 
'Switzerland', 
'India', 
'Peru', 
'Portugal', 
'Ecuador', 
'Ireland', 
'Sweden', 
'Saudi Arabia', 
'Israel', 
'Austria', 
'Mexico', 
'Japan', 
'Chile', 
'Pakistan', 
'Singapore', 
'Poland', 
'Korea, South', 
'Romania', 
'United Arab Emirates', 
'Belarus', 
'Qatar', 
'Denmark', 
'Indonesia', 
'Ukraine', 
'Norway', 
'Czechia', 
'Philippines', 
'Australia', 
'Serbia', 
'Dominican Republic', 
'Malaysia', 
'Panama', 
'Colombia', 
'Bangladesh', 
'Finland', 
'South Africa'
