,country,date
0,Afghanistan,2020-03-24
1,Albania,2020-03-08
2,Algeria,2020-03-24
3,Andorra,2020-03-16
4,Angola,2020-03-24
5,Argentina,2020-03-20
6,Armenia,2020-03-24
7,Austria,2020-03-16
8,Azerbaijan,2020-03-02
9,Bahamas,2020-03-20
10,Bahrain,2020-02-25
11,Bangladesh,2020-03-19
12,Barbados,2020-03-28
13,Belgium,2020-03-17
14,Belize,2020-03-30
15,Bhutan,2020-03-06
16,Bolivia,2020-03-12
17,BH,2020-03-11
18,Botswana,2020-04-02
19,Bulgaria,2020-03-13
20,Burkina Faso,2020-03-21
21,Cambodia,2020-03-28
22,Canada,2020-03-17
23,Chile,2020-03-26
24,China,2020-01-23
25,Colombia,2020-03-25
26,Congo,2020-03-19
27,CR,2020-03-15
28,CdIvoire,2020-03-29
29,Croatia,2020-03-22
30,Cyprus,2020-03-25
31,Czechia,2020-03-16
32,Denmark,2020-03-12
33,DR,2020-03-17
34,Ecuador,2020-03-24
35,Egypt,2020-03-24
36,ElSalvador,2020-03-11
37,Estonia,2020-03-13
38,Ethiopia,2020-03-16
39,Fiji,2020-03-20
40,Finland,2020-03-27
41,Gambia,2020-03-27
42,Georgia,2020-03-22
43,Germany,2020-03-20
44,Ghana,2020-03-15
45,Greece,2020-03-18
46,Honduras,2020-03-20
47,Hungary,2020-03-16
48,Iceland,2020-03-16
49,India,2020-03-24
50,Indonesia,2020-03-15
51,Iran,2020-03-15
52,Iraq,2020-03-22
53,Ireland,2020-03-12
54,Israel,2020-03-12
55,Italy,2020-03-11
56,Jamaica,2020-03-12
57,Japan,2020-02-27
58,Jersey,2020-03-18
59,Jordan,2020-03-21
60,Kazakhstan,2020-03-15
61,Kenya,2020-03-15
62,KoreaSouth,2020-02-23
63,Kosovo,2020-03-25
64,Kuwait,2020-03-16
65,Kyrgyzstan,2020-03-24
66,Latvia,2020-03-13
67,Lebanon,2020-03-16
68,Liechtenstein,2020-03-20
69,Lithuania,2020-03-16
70,Luxembourg,2020-03-16
71,Madagascar,2020-03-17
72,Malaysia,2020-03-18
73,Maldives,2020-03-11
74,Mali,2020-03-18
75,Malta,2020-03-12
76,Mauritius,2020-03-17
77,Mexico,2020-03-14
78,Moldova,2020-03-11
79,Monaco,2020-03-17
80,Mongolia,2020-03-10
81,Montenegro,2020-03-24
82,Morocco,2020-03-16
83,Namibia,2020-03-14
84,Nepal,2020-03-24
85,Netherlands,2020-03-16
86,New Zealand,2020-03-25
87,Nigeria,2020-03-25
88,NMacedonia,2020-03-18
89,Norway,2020-03-12
90,Oman,2020-03-29
91,Pakistan,2020-03-26
92,Palestine,2020-03-05
93,Panama,2020-03-25
94,Paraguay,2020-03-15
95,Peru,2020-03-10
96,Philippines,2020-03-16
97,Poland,2020-03-12
98,Portugal,2020-03-18
99,Qatar,2020-03-11
100,Romania,2020-03-25
101,Russia,2020-03-27
102,Rwanda,2020-03-16
103,Saint Lucia,2020-03-20
104,San Marino,2020-03-09
105,SaudiArabia,2020-03-15
106,Senegal,2020-03-24
107,Serbia,2020-03-15
108,Singapore,2020-03-26
109,Slovakia,2020-03-09
110,Slovenia,2020-03-11
111,Somalia,2020-03-19
112,SA,2020-03-26
113,Spain,2020-03-14
114,SL,2020-03-21
115,Switzerland,2020-03-18
116,Syria,2020-03-14
117,Taiwan*,2020-02-02
118,Thailand,2020-03-22
119,Togo,2020-03-20
120,Trinidad,2020-03-13
121,Tunisia,2020-03-20
122,Turkey,2020-03-23
123,Uganda,2020-03-18
124,Ukraine,2020-03-17
125,UAE,2020-03-24
126,UK,2020-03-18
127,Uruguay,2020-03-16
128,US,2020-04-04
129,Uzbekistan,2020-03-20
130,Vatican City,2020-03-10
131,Venezuela,2020-03-16
132,Vietnam,2020-03-19
133,WBG,2020-03-05
134,Zimbabwe,2020-03-27
135,France,2020-03-17
136,Brazil,2020-03-17
137,Sweden,2020-01-01
138,Belarus,2020-04-17
138,Australia,2020-03-23
