,country,beta,mu,gamma
0,US,0.617835,0.024081,0.218507
1,Spain,0.616809,0.024060,0.217841
2,Italy,0.617068,0.024068,0.217990
3,France,0.617158,0.024066,0.218069
4,Germany,0.617357,0.024069,0.218208
5,UK,0.617147,0.024072,0.218029
6,Turkey,0.617242,0.024081,0.218056
7,Iran,0.617371,0.024068,0.218224
8,China,0.120000,0.010000,0.110000
9,Russia,0.120000,0.010000,0.110000
10,Brazil,0.617747,0.024078,0.218453
11,Canada,0.616553,0.024054,0.217676
12,Belgium,0.613258,0.023990,0.215512
13,Netherlands,0.614887,0.024008,0.216658
14,Switzerland,0.611813,0.023942,0.214674
15,India,0.120000,0.010000,0.110000
16,Peru,0.616341,0.024047,0.217552
17,Portugal,0.612788,0.023958,0.215330
18,Ecuador,0.614994,0.024013,0.216703
19,Ireland,0.607315,0.023838,0.211801
20,Sweden,0.612636,0.023969,0.215154
21,SaudiArabia,0.616480,0.024044,0.217673
22,Israel,0.611872,0.023936,0.214751
23,Austria,0.612094,0.023943,0.214881
24,Mexico,0.617537,0.024079,0.218286
25,Japan,0.617562,0.024075,0.218327
26,Chile,0.615121,0.024027,0.216728
27,Pakistan,0.617732,0.024081,0.218428
28,Singapore,0.608937,0.023876,0.212836
29,Poland,0.616604,0.024047,0.217751
30,SK,0.616878,0.024068,0.217845
31,Romania,0.615159,0.024022,0.216789
32,UAE,0.612471,0.023972,0.215009
33,Belarus,0.612389,0.023947,0.215084
34,Qatar,0.599870,0.023699,0.206865
35,Denmark,0.608816,0.023877,0.212735
36,Indonesia,0.120000,0.010000,0.110000
37,Ukraine,0.616710,0.024062,0.217753
38,Norway,0.608228,0.023860,0.212384
39,Czech,0.613052,0.023962,0.215510
40,Philippines,0.617487,0.024075,0.218275
41,Australia,0.615795,0.024045,0.217145
42,Serbia,0.611780,0.023955,0.214578
43,DR,0.617293,0.024082,0.218087
44,Malaysia,0.616179,0.024062,0.217348
45,Panama,0.605805,0.023805,0.210829
46,Colombia,0.616913,0.024062,0.217907
47,Bangladesh,0.120000,0.010000,0.110000
48,Finland,0.608458,0.023862,0.212546
49,SA,0.616947,0.024079,0.217833
