country,confirmed,deaths,recovered
US,1180375.0,68922.0,187180.0
Italy,211938.0,29079.0,82879.0
UK,191832.0,28809.0,910.0
Spain,218011.0,25428.0,121343.0
France,169583.0,25204.0,51476.0
Belgium,50267.0,7924.0,12378.0
Brazil,108620.0,7367.0,45815.0
Germany,166152.0,6993.0,132700.0
Iran,98647.0,6277.0,79379.0
Netherlands,40968.0,5098.0,138.0
China,83966.0,4637.0,78792.0
Canada,61957.0,4003.0,26030.0
Turkey,127659.0,3461.0,68166.0
Sweden,22721.0,2769.0,4074.0
Mexico,24905.0,2271.0,13447.0
Switzerland,29981.0,1784.0,25200.0
Ecuador,31881.0,1569.0,3433.0
India,46437.0,1566.0,12847.0
Russia,145268.0,1356.0,18095.0
Peru,47372.0,1344.0,14427.0
Ireland,21772.0,1319.0,13386.0
Portugal,25524.0,1063.0,1712.0
Indonesia,11587.0,864.0,1954.0
Romania,13512.0,818.0,5269.0
Poland,14006.0,698.0,4095.0
Philippines,9485.0,623.0,1315.0
Austria,15621.0,600.0,13316.0
Japan,15078.0,536.0,4156.0
Denmark,9868.0,493.0,7284.0
Pakistan,20941.0,476.0,5635.0
Algeria,4648.0,465.0,1998.0
Egypt,6813.0,436.0,1632.0
Colombia,7973.0,358.0,1807.0
Hungary,3035.0,351.0,630.0
Dominican Republic,8235.0,346.0,1771.0
Ukraine,12331.0,303.0,1619.0
Chile,20643.0,270.0,10415.0
Argentina,4887.0,260.0,1442.0
"Korea, South",10804.0,254.0,9283.0
Czechia,7819.0,252.0,3807.0
Finland,5327.0,240.0,3500.0
Israel,16246.0,235.0,10064.0
Norway,7904.0,214.0,32.0
Panama,7197.0,200.0,641.0
Serbia,9557.0,197.0,1574.0
Saudi Arabia,28656.0,191.0,4476.0
Bangladesh,10143.0,182.0,1209.0
Morocco,5053.0,179.0,1653.0
Greece,2632.0,146.0,1374.0
South Africa,7220.0,138.0,2746.0
United Arab Emirates,14730.0,137.0,2966.0
Moldova,4248.0,132.0,1423.0
Malaysia,6353.0,105.0,4484.0
Belarus,17489.0,103.0,3259.0
Iraq,2346.0,98.0,1544.0
Slovenia,1439.0,97.0,241.0
Australia,6847.0,96.0,5887.0
Luxembourg,3828.0,96.0,3405.0
Nigeria,2802.0,93.0,417.0
Afghanistan,2894.0,90.0,397.0
North Macedonia,1518.0,85.0,992.0
Honduras,1178.0,83.0,122.0
Bolivia,1681.0,82.0,174.0
Croatia,2101.0,80.0,1522.0
Bulgaria,1652.0,78.0,321.0
Bosnia and Herzegovina,1926.0,78.0,855.0
Cuba,1668.0,69.0,876.0
Cameroon,2104.0,64.0,953.0
Estonia,1703.0,55.0,259.0
Thailand,2987.0,54.0,2740.0
Lithuania,1419.0,46.0,638.0
Burkina Faso,672.0,46.0,545.0
Andorra,750.0,45.0,499.0
Tunisia,1018.0,43.0,406.0
Sudan,678.0,41.0,61.0
San Marino,582.0,41.0,86.0
Kuwait,5278.0,40.0,1947.0
Armenia,2507.0,39.0,1071.0
Niger,755.0,37.0,534.0
Somalia,756.0,35.0,61.0
